"source_state","target_state","metric","status","error"
"MD","MD","behavior_auc","skipped","No finite values"
"MD","MD","behavior_accuracy","skipped","No finite values"
"MD","MD","behavior_bce","skipped","No finite values"
"MD","MD","behavior_score_gap","skipped","No finite values"
"MD","MD","behavior_dp_gap","skipped","No finite values"
"MD","MD","behavior_eod_gap","skipped","No finite values"
"MD","MD","behavior_fpr_gap","skipped","No finite values"
"MD","MD","behavior_aod_gap","skipped","No finite values"
"MD","MD","behavior_eodds_max_gap","skipped","No finite values"
"MD","MD","behavior_positive_rate_s0","skipped","No finite values"
"MD","MD","behavior_positive_rate_s1","skipped","No finite values"
"MD","MD","behavior_tpr_s0","skipped","No finite values"
"MD","MD","behavior_tpr_s1","skipped","No finite values"
"MD","MD","behavior_fpr_s0","skipped","No finite values"
"MD","MD","behavior_fpr_s1","skipped","No finite values"
"MD","MD","source_threshold_auc","skipped","No finite values"
"MD","MD","source_threshold_accuracy","skipped","No finite values"
"MD","MD","source_threshold_bce","skipped","No finite values"
"MD","MD","source_threshold_score_gap","skipped","No finite values"
"MD","MD","source_threshold_dp_gap","skipped","No finite values"
"MD","MD","source_threshold_eod_gap","skipped","No finite values"
"MD","MD","source_threshold_fpr_gap","skipped","No finite values"
"MD","MD","source_threshold_aod_gap","skipped","No finite values"
"MD","MD","source_threshold_eodds_max_gap","skipped","No finite values"
"MD","MD","source_threshold_positive_rate_s0","skipped","No finite values"
"MD","MD","source_threshold_positive_rate_s1","skipped","No finite values"
"MD","MD","source_threshold_tpr_s0","skipped","No finite values"
"MD","MD","source_threshold_tpr_s1","skipped","No finite values"
"MD","MD","source_threshold_fpr_s0","skipped","No finite values"
"MD","MD","source_threshold_fpr_s1","skipped","No finite values"
"MD","MD","mechanism_main_logit_mean","skipped","No finite values"
"MD","MD","mechanism_main_abs_logit_mean","skipped","No finite values"
"MD","MD","mechanism_main_abs_logit_q95","skipped","No finite values"
"MD","MD","mechanism_main_abs_logit_top1pct","skipped","No finite values"
"MD","MD","mechanism_cf_abs_prob_mean","skipped","No finite values"
"MD","MD","mechanism_cf_abs_prob_q95","skipped","No finite values"
"MD","MD","mechanism_cf_flip_rate","skipped","No finite values"
"MD","MD","mechanism_pair_abs_mean","skipped","No finite values"
"MD","MD","mechanism_pair_abs_q95","skipped","No finite values"
"MD","MD","mechanism_pair_abs_max","skipped","No finite values"
"MD","MD","mechanism_proxy_score_gap_overall","skipped","No finite values"
"MD","MD","mechanism_proxy_score_gap_y0","skipped","No finite values"
"MD","MD","mechanism_proxy_score_gap_y1","skipped","No finite values"
"MD","MD","mechanism_proxy_score_gap_cond_mean","skipped","No finite values"
"MD","MD","mechanism_proxy_score_gap_cond_max","skipped","No finite values"
"MD","MD","mechanism_proxy_effect_gap_mean","skipped","No finite values"
"MD","MD","mechanism_proxy_effect_gap_max","skipped","No finite values"
"MD","MD","mechanism_boundary_fraction","skipped","No finite values"
"MD","MD","mechanism_boundary_proxy_score_gap_cond_mean","skipped","No finite values"
"MD","MD","mechanism_boundary_proxy_score_gap_cond_max","skipped","No finite values"
"MD","MD","mechanism_boundary_proxy_effect_gap_mean","skipped","No finite values"
"MD","MD","mechanism_boundary_proxy_effect_gap_max","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_mean","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_score_gap_max","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_effect_gap_mean","skipped","No finite values"
"MD","MD","mechanism_slice_proxy_effect_gap_max","skipped","No finite values"
