"source_state","target_state","seed","model","metric","value","exclusion_reason"
"OH","MD",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",6,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",6,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",6,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",7,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",7,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",7,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",8,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",8,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",8,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","MD",9,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","MD",9,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","MD",9,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",6,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",6,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",6,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",7,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",7,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",7,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",8,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",8,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",8,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","OH",9,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"PA","OH",9,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","OH",9,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","PA",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","PA",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","PA",0,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","PA",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","PA",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","PA",1,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","PA",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","PA",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","PA",2,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","PA",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","PA",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","PA",3,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","PA",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","PA",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","PA",4,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","PA",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","PA",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"VA","PA",5,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"MD","PA",6,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
"OH","PA",6,"blind","mechanism_main_logit_mean",0,"blind removes the protected attribute; direct protected-main/pair mechanism residual is zero by construction"
