"source_state","target_state","metric_group","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"ALL","ALL","behavior","behavior_auc","higher","erm",120,0.846321753651786,0.0106086759421403,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_auc","higher","adv",120,0.845869654825047,0.0102284593674968,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_auc","higher","blind",120,0.843689057057305,0.0120370803530444,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_auc","higher","score_only",120,0.841376242422997,0.00905121693721531,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_auc","higher","no_interaction",120,0.840362431034329,0.00930896822206455,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_auc","higher","repair_main05",120,0.838059537194014,0.0114025381025475,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_auc","higher","repair_main0",120,0.83777788495761,0.0141508630458689,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_auc","higher","reweight",120,0.835304804915303,0.0108733727118816,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_auc","higher","wrong_spec",120,0.831655890405863,0.0105467525850245,6,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","erm",120,0.859387731417745,0.0120499045015127,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","adv",120,0.858301757544385,0.0127859301378344,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","blind",120,0.857993441021261,0.0133995685495973,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","score_only",120,0.856798693374164,0.0122336626667908,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","no_interaction",120,0.85581081731064,0.0118189537999565,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","repair_main05",120,0.855470414889255,0.0131113950970565,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","repair_main0",120,0.85494084909771,0.0172113095555512,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","wrong_spec",120,0.849036413313071,0.0118438038019641,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_accuracy","higher","reweight",120,0.807239749271484,0.0293755612259368,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","erm",120,0.353688471369491,0.0242826586094347,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","adv",120,0.3554534092379,0.0263629407964235,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","blind",120,0.356787748556216,0.0264371028678116,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","score_only",120,0.358318571045654,0.0219869141763859,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","no_interaction",120,0.359641744519382,0.0213847542147553,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","repair_main05",120,0.361350759606608,0.0230518691580065,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","repair_main0",120,0.362861982714383,0.030261372743355,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","wrong_spec",120,0.368243109041015,0.0216059609880757,4,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_bce","lower","reweight",120,0.450487277211943,0.0443628325951641,5,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_score_gap","lower","repair_main05",120,0.0526561260223389,0.0162933773585915,1,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_score_gap","lower","repair_main0",120,0.0563992088039716,0.0176717632656964,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_score_gap","lower","reweight",120,0.0570591705540816,0.0308434472126871,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_score_gap","lower","no_interaction",120,0.0578784530361493,0.0242458139766392,2,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_score_gap","lower","score_only",120,0.0711163883407911,0.030332786625565,3,"ScottKnottESD","2.0.3"
"ALL","ALL","behavior","behavior_score_gap","lower","blind",120,0.10282836407423,0.0282125384406141,4,"ScottKnottESD","2.0.3"
