experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_intersectional_age_race,acs_employment,MD,adv,behavior,accuracy,10,0.7127823105120019,0.004139521769931367,higher
acs_intersectional_age_race,acs_employment,MD,adv,behavior,aod_age,10,0.05728403314987281,0.0263721205911397,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,aod_excess,10,0.06280117321616316,0.024342788140487404,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,aod_race,10,0.05613293888723824,0.022088973017608957,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,auc,10,0.756340114142583,0.0037567481280957327,higher
acs_intersectional_age_race,acs_employment,MD,adv,behavior,bce,10,0.5619191571675408,0.004295390349195533,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,dp_age,10,0.10065352356892036,0.023684325846720554,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,dp_race,10,0.06392946629482535,0.024567261988403293,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,eod_age,10,0.04158138139842171,0.020031942084980964,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,eod_excess,10,0.03584359355231108,0.018166761747061024,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,eod_race,10,0.03530260234572791,0.014971816855421727,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,eodds_max_age,10,0.0729866849013239,0.0349663517375162,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,eodds_max_race,10,0.0782806432885743,0.03176544380446377,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,fpr_age,10,0.0729866849013239,0.0349663517375162,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,fpr_race,10,0.07696327542874858,0.034826445169126106,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,sAOD,10,0.13475947123419063,0.02914965751231485,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,sDP,10,0.1734167774340477,0.02312499590038257,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,sEOD,10,0.08609561895836813,0.02147895895662987,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,sEOdds_max,10,0.18525723982041606,0.04819387467537642,lower
acs_intersectional_age_race,acs_employment,MD,adv,behavior,sFPR,10,0.18525723982041606,0.04819387467537642,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,D2age,10,0.2818024277687073,0.06338075313064023,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,D2ar,10,0.1653117559850216,0.03829835489767278,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,D2race,10,0.15380309000611306,0.03143996921992021,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,D3,10,0.15401091948151588,0.03783756158663251,lower
acs_intersectional_age_race,acs_employment,MD,adv,mechanism,Gsub,10,0.45918317437171935,0.09886093857554654,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,accuracy,10,0.706704505143668,0.004795116258118686,higher
acs_intersectional_age_race,acs_employment,MD,blind,behavior,aod_age,10,0.04494839989719313,0.030050720028807373,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,aod_excess,10,0.04543527608149522,0.021400898920541638,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,aod_race,10,0.08355914848847737,0.07293575663586523,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,auc,10,0.7368954819486679,0.007184878847272058,higher
acs_intersectional_age_race,acs_employment,MD,blind,behavior,bce,10,0.5773283674857062,0.005820092877300789,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,dp_age,10,0.06703673676754106,0.04318402894861806,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,dp_race,10,0.08804212782438134,0.07655150408015464,lower
acs_intersectional_age_race,acs_employment,MD,blind,behavior,eod_age,10,0.02779212146513673,0.02101730655000242,lower
