experiment,dataset,state,seed,role,model,AUC,Acc,AOD,EOD,DP,Sgap,Delta2,Proxy,ProxyScore,BndDelta2
acs_age,acs_employment,MD,0,ERM,erm,0.7566795711673202,0.7157752059222188,0.07903798448135302,0.057673007090672024,0.11504679918289185,0.12750637531280518,0.3017450273036957,0.24697236716747284,0.6367525160312653,0.3000503480434418
acs_age,acs_employment,MD,0,Global score guard,score_only,0.7463506308931402,0.7117088937545616,0.05494334362655573,0.031800040223165515,0.0032483935356140137,0.01472538709640503,0.22263865172863007,0.20429830253124237,0.048846639692783356,0.23406699299812317
acs_age,acs_employment,MD,0,Global + boundary score guards,no_interaction,0.7458737834749771,0.711500364925451,0.043012707627364505,0.02574477378852058,0.006092965602874756,0.0169217586517334,0.22180742025375366,0.20473125576972961,0.04446924477815628,0.23674318194389343
acs_age,acs_employment,MD,0,Score guards + global interaction,score_guard_global_interaction,0.7406912344656719,0.7096236054634554,0.02304551688608089,0.012002913988165775,0.02466714382171631,0.016995131969451904,0.03754260763525963,0.031464800238609314,0.021592002362012863,0.04049483686685562
acs_age,acs_employment,MD,0,Final interaction steering,repair_direct,0.7408235077332719,0.7088937545615681,0.03339667264535076,0.021219789407867284,0.015166401863098145,0.016814053058624268,0.03735222667455673,0.027615800499916077,0.025338031351566315,0.03891708329319954
acs_age,acs_employment,MD,0,Wrong-spec,wrong_spec,0.746171444096374,0.7057658221249088,0.18367289523162067,0.11379686230091113,0.1991180181503296,0.1734325885772705,0.42359811067581177,0.4891512989997864,0.8725525140762329,0.43960505723953247
acs_age,acs_employment,MD,1,ERM,erm,0.757591226904584,0.7189031383588781,0.08747584558822469,0.06332920713128487,0.12330931425094604,0.1290299892425537,0.26704421639442444,0.23765230178833008,0.6312525272369385,0.26766523718833923
acs_age,acs_employment,MD,1,Global score guard,score_only,0.7479184810378718,0.7181732874569909,0.028534540181388512,0.030508370168046195,0.01602756977081299,0.026112735271453857,0.20844526588916779,0.1925640106201172,0.03568259999155998,0.22136452794075012
acs_age,acs_employment,MD,1,Global + boundary score guards,no_interaction,0.747842984582887,0.7174434365551038,0.02509169380783427,0.02895118339377356,0.018633782863616943,0.02874898910522461,0.20855288207530975,0.191667839884758,0.044695280492305756,0.22331233322620392
acs_age,acs_employment,MD,1,Score guards + global interaction,score_guard_global_interaction,0.7460472948789466,0.7197372536753206,0.03148261545189185,0.023252008845200733,0.07242077589035034,0.031132400035858154,0.03716196119785309,0.02776150591671467,0.060192979872226715,0.0401553213596344
