experiment,dataset,state,seed,source,model,raw_model,label,selector,split,metric_group,metric,value,direction
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max,1.0966941118240356,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__age,0.7620062232017517,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__education_num,0.44461366534233093,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__hours_per_week,1.0966941118240356,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__marital_married,0.9584762454032898,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__marital_never_married,0.3395705223083496,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__occupation_exec_prof,0.24901777505874634,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__occupation_service,0.29111823439598083,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__relationship_own_child,0.23253098130226135,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_max__relationship_spouse,0.7744867205619812,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean,0.23486900329589844,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__age,0.34981769323349,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__education_num,0.10568207502365112,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__hours_per_week,0.6226234436035156,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__marital_married,0.4194018244743347,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__marital_never_married,0.0753571167588234,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__occupation_exec_prof,0.055739548057317734,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__occupation_service,0.07060980051755905,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__relationship_own_child,0.06304451078176498,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_mean__relationship_spouse,0.35154491662979126,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95,0.6881365448236464,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__age,0.5504504293203354,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__education_num,0.22904573380947113,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__hours_per_week,0.8466756939888,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__marital_married,0.7080506086349487,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__marital_never_married,0.19267244637012482,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__occupation_exec_prof,0.13727396726608276,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__occupation_service,0.16745345294475555,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__relationship_own_child,0.15412424504756927,lower
adult_gender,adult,-,0,boundary_pair_eval_only,erm,erm,ERM,,test,mechanism,boundary_pair_abs_q95__relationship_spouse,0.5630399584770203,lower
adult_gender,adult,-,0,boundary_pair_eval_only,score_only,proxy_score_only,Global score guard,,test,mechanism,boundary_pair_abs_max,1.0876322984695435,lower
adult_gender,adult,-,0,boundary_pair_eval_only,score_only,proxy_score_only,Global score guard,,test,mechanism,boundary_pair_abs_max__age,0.9990572929382324,lower
adult_gender,adult,-,0,boundary_pair_eval_only,score_only,proxy_score_only,Global score guard,,test,mechanism,boundary_pair_abs_max__education_num,0.6185976266860962,lower
adult_gender,adult,-,0,boundary_pair_eval_only,score_only,proxy_score_only,Global score guard,,test,mechanism,boundary_pair_abs_max__hours_per_week,1.0876322984695435,lower
adult_gender,adult,-,0,boundary_pair_eval_only,score_only,proxy_score_only,Global score guard,,test,mechanism,boundary_pair_abs_max__marital_married,0.2468550205230713,lower
adult_gender,adult,-,0,boundary_pair_eval_only,score_only,proxy_score_only,Global score guard,,test,mechanism,boundary_pair_abs_max__marital_never_married,0.35128283500671387,lower
