experiment,dataset,state,seed,role,model,AUC,Acc,AOD,EOD,DP,Sgap,Delta2,Proxy,ProxyScore,BndDelta2
hmda_md_race,hmda,MD,0,ERM,erm,0.8647167283445361,0.8671258189148329,0.043446746550516724,0.03150604017567915,0.10149478912353516,0.1258934736251831,0.24329176545143127,0.3555709421634674,0.6278789937496185,0.2639824450016022
hmda_md_race,hmda,MD,0,Global score guard,score_only,0.8456742583628176,0.8581667506579316,0.011338394321877165,0.01102848604233475,0.0684390664100647,0.0528564453125,0.10340579599142075,0.2172410637140274,0.07091091573238373,0.11408083885908127
hmda_md_race,hmda,MD,0,Global + boundary score guards,no_interaction,0.8550155784940685,0.8638221624951005,0.010081590637214366,0.002743355036097017,0.05632096529006958,0.05227768421173096,0.13256517052650452,0.24482594430446625,0.0941205844283104,0.1589137613773346
hmda_md_race,hmda,MD,0,Score guards + global interaction,score_guard_global_interaction,0.8547526634516213,0.8651940198219386,0.005168079482615273,0.004698394410414086,0.06218087673187256,0.059103310108184814,0.0035239921417087317,0.022326095029711723,0.0844716802239418,0.003963179420679808
hmda_md_race,hmda,MD,0,Final interaction steering,repair_main05,0.849915575489737,0.8574388263620584,0.009163786656225914,0.0008068020703764223,0.04755675792694092,0.04179781675338745,0.003356881672516465,0.017613645642995834,0.08941207081079483,0.004439075011759996
hmda_md_race,hmda,MD,0,Wrong-spec,wrong_spec,0.8460874875809917,0.8503555630214458,0.1393588641996749,0.06520729637280931,0.1522795557975769,0.16778028011322021,0.608476459980011,0.5057996511459351,1.050450086593628,0.6462153792381287
hmda_md_race,hmda,MD,1,ERM,erm,0.8623943473765434,0.8671538160031357,0.050569496555928184,0.024587363427073128,0.09939706325531006,0.12724781036376953,0.3017117381095886,0.3388207256793976,0.6030837595462799,0.4003002941608429
hmda_md_race,hmda,MD,1,Global score guard,score_only,0.8551454594962755,0.8647460664090935,0.019352890548601343,0.010044699775991095,0.07377225160598755,0.06324774026870728,0.17453467845916748,0.2364450842142105,0.01994069665670395,0.21840403974056244
hmda_md_race,hmda,MD,1,Global + boundary score guards,no_interaction,0.8478109818525583,0.8572708438322414,0.004746739536188649,0.00326603440615969,0.05842709541320801,0.05600029230117798,0.11940715461969376,0.20088860392570496,0.04842972010374069,0.12905122339725494
hmda_md_race,hmda,MD,1,Score guards + global interaction,score_guard_global_interaction,0.8420261654756649,0.8532672602049387,0.015614048733229413,0.01087718148787975,0.06603777408599854,0.06288564205169678,0.02219037525355816,0.019878895953297615,0.0901690348982811,0.02578006498515606
hmda_md_race,hmda,MD,1,Final interaction steering,repair_main05,0.8520031701392567,0.86023853519234,0.0025916160691044077,0.000761396037577966,0.056350886821746826,0.05079030990600586,0.0033586134668439627,0.016293222084641457,0.01965920999646187,0.0035569064784795046
hmda_md_race,hmda,MD,1,Wrong-spec,wrong_spec,0.8349188041588594,0.8453440842152417,0.16322276650376857,0.09562852502579067,0.18252086639404297,0.17193424701690674,0.5302125811576843,0.5625612735748291,0.8855189085006714,0.5376338958740234
hmda_md_race,hmda,MD,2,ERM,erm,0.8631147828759225,0.8672378072680441,0.07019000573215209,0.04242560773851589,0.12094593048095703,0.1398235559463501,0.28894495964050293,0.33943626284599304,0.8056304752826691,0.34428805112838745
hmda_md_race,hmda,MD,2,Global score guard,score_only,0.8517888681120902,0.8647180693207906,0.017907930630445268,0.01382730030422108,0.0778203010559082,0.05817192792892456,0.16166308522224426,0.24624738097190857,0.026676632463932037,0.2036089301109314
hmda_md_race,hmda,MD,2,Global + boundary score guards,no_interaction,0.8531285258929133,0.8643821042611568,0.0029044113095161306,0.003087270235040851,0.06285065412521362,0.0504535436630249,0.12755413353443146,0.21976861357688904,0.046736206859350204,0.15857675671577454
hmda_md_race,hmda,MD,2,Score guards + global interaction,score_guard_global_interaction,0.8499839106765933,0.8644380984377624,0.0078524109409982,0.004310619823747253,0.06538677215576172,0.0504571795463562,0.005903326906263828,0.01845838502049446,0.045975384302437305,0.008035658858716488
hmda_md_race,hmda,MD,2,Final interaction steering,repair_main05,0.848909442679732,0.8642141217313399,0.005285084325472533,0.003845646314777351,0.0636976957321167,0.049614906311035156,0.004121656529605389,0.01912427321076393,0.05188397690653801,0.004902712069451809
hmda_md_race,hmda,MD,2,Wrong-spec,wrong_spec,0.8412493702927635,0.8454560725684529,0.2229719048728567,0.1412438882353203,0.23685330152511597,0.2162577509880066,0.6532891392707825,0.5001844763755798,1.2677797675132751,0.6535205841064453
hmda_md_race,hmda,MD,3,ERM,erm,0.8664334355681325,0.8680217257405229,0.04509089200816485,0.029389949716301933,0.10005122423171997,0.1296873688697815,0.2717534899711609,0.308967649936676,0.6877656280994415,0.3258148729801178
hmda_md_race,hmda,MD,3,Global score guard,score_only,0.8522090470257383,0.8647740634973963,0.005162647426375677,0.007561334443771162,0.06549209356307983,0.053501009941101074,0.14405414462089539,0.2276352196931839,0.03757708519697189,0.19484356045722961
hmda_md_race,hmda,MD,3,Global + boundary score guards,no_interaction,0.8532924931647967,0.864354107172854,0.0175551463417854,0.0006797038446677561,0.04998737573623657,0.04372537136077881,0.13420097529888153,0.22548922896385193,0.05584060400724411,0.17206478118896484
hmda_md_race,hmda,MD,3,Score guards + global interaction,score_guard_global_interaction,0.8507185592442486,0.8649420460272131,0.017514745531444997,0.0022964746078810716,0.050414085388183594,0.04131346940994263,0.006434487644582987,0.018927665427327156,0.062390539795160294,0.008836151100695133
hmda_md_race,hmda,MD,3,Final interaction steering,repair_main05,0.8508099648177184,0.8637941654067977,0.016724006036721306,0.002402139799461689,0.050163209438323975,0.03972935676574707,0.0033224571961909533,0.019032584503293037,0.05753481760621071,0.0039617023430764675
hmda_md_race,hmda,MD,3,Wrong-spec,wrong_spec,0.8471439946463877,0.8531552718517275,0.17387981997721993,0.10940283273645501,0.1985347867012024,0.17802828550338745,0.6076392531394958,0.6313403844833374,0.9710248708724976,0.5989970564842224
hmda_md_race,hmda,MD,4,ERM,erm,0.8647460885424663,0.8707094462175934,0.06808297744850134,0.044350634198479955,0.12439590692520142,0.13647210597991943,0.2612900137901306,0.3414626717567444,0.5816003382205963,0.3074049651622772
hmda_md_race,hmda,MD,4,Global score guard,score_only,0.8516110084198663,0.8634861974354667,0.01640369921975135,0.01776429867705709,0.08049488067626953,0.059858858585357666,0.1415957659482956,0.24302104115486145,0.1151980385184288,0.1755777895450592
hmda_md_race,hmda,MD,4,Global + boundary score guards,no_interaction,0.8527533259846094,0.8641581275547343,0.005394531272400416,0.007841357201320176,0.0688331127166748,0.055200159549713135,0.1396419256925583,0.23734818398952484,0.110118068754673,0.16002658009529114
hmda_md_race,hmda,MD,4,Score guards + global interaction,score_guard_global_interaction,0.8482024581288979,0.8604905089870654,0.0036021669185062333,0.0050276898134502535,0.06127023696899414,0.049764275550842285,0.010303550399839878,0.01586713083088398,0.10887441784143448,0.012885893695056438
