experiment,dataset,state,seed,role,model,AUC,Acc,AOD,EOD,DP,Sgap,Delta2,Proxy,ProxyScore,BndDelta2
hmda_race,hmda,OH,0,ERM,erm,0.8586009613185732,0.8775085641374145,0.10267344212772805,0.04741034407507094,0.1496591567993164,0.15727019309997559,0.2650968134403229,0.2880411446094513,1.0327107906341553,0.2944612205028534
hmda_race,hmda,OH,0,Global score guard,score_only,0.8537279670968818,0.8741106472684909,0.034414690897248496,0.01207570502517874,0.09256112575531006,0.0634990930557251,0.1429990977048874,0.17226146161556244,0.1268257424235344,0.14813560247421265
hmda_race,hmda,OH,0,Global + boundary score guards,no_interaction,0.8558563440680746,0.8756223735489508,0.004673466410135552,0.008435459674906776,0.05935263633728027,0.06074494123458862,0.15278805792331696,0.22033143043518066,0.15433286130428314,0.18688537180423737
hmda_race,hmda,OH,0,Score guards + global interaction,score_guard_global_interaction,0.8558628459969044,0.8726821352786985,0.009856472282432138,0.002002495227089063,0.06298398971557617,0.0600016713142395,0.004770524799823761,0.04195351526141167,0.1500915139913559,0.005764954257756472
hmda_race,hmda,OH,0,Final interaction steering,repair_main05,0.8541622831492025,0.8730565995867023,0.007166944985763035,0.0034165258697953504,0.06034189462661743,0.058014869689941406,0.0024361400865018368,0.030360834673047066,0.15771174430847168,0.002226857701316476
hmda_race,hmda,OH,0,Wrong-spec,wrong_spec,0.8451645055036789,0.8670929087555302,0.24773523361546984,0.1764831023166633,0.2814328074455261,0.22924989461898804,0.8097350001335144,0.6757984757423401,1.472495436668396,0.8216493129730225
hmda_race,hmda,OH,1,ERM,erm,0.8613553342301414,0.877092492684077,0.08600653752707843,0.03729218450406335,0.13542026281356812,0.14659994840621948,0.32170724868774414,0.3778377175331116,0.8218577802181244,0.3516414761543274
hmda_race,hmda,OH,1,Global score guard,score_only,0.8575347926078452,0.8750260044658336,0.02090022990029622,0.0030771722406671698,0.07957279682159424,0.05934220552444458,0.18606361746788025,0.27680009603500366,0.08691509440541267,0.23178185522556305
hmda_race,hmda,OH,1,Global + boundary score guards,no_interaction,0.8560759611531188,0.8710733256591265,0.009151188279572064,0.003793966711090224,0.0501139760017395,0.04982864856719971,0.16961000859737396,0.25866153836250305,0.07858186215162277,0.18625254929065704
hmda_race,hmda,OH,1,Score guards + global interaction,score_guard_global_interaction,0.8560962456210854,0.8732646353133712,0.00213682095049611,0.003488925885716365,0.058601558208465576,0.053704798221588135,0.006003126036375761,0.02656787447631359,0.0749058909714222,0.007855615578591824
hmda_race,hmda,OH,1,Final interaction steering,repair_main05,0.8562603118401582,0.870587908963566,0.004230649860608171,0.0014236382277573734,0.05774158239364624,0.053487420082092285,0.002312011318281293,0.019384007900953293,0.0463184155523777,0.002284104935824871
hmda_race,hmda,OH,1,Wrong-spec,wrong_spec,0.8443803431173205,0.8649432062466195,0.3006681264870076,0.22640308485830873,0.3328709006309509,0.2664410471916199,0.7579320669174194,0.6357952356338501,1.570787787437439,0.7959699630737305
hmda_race,hmda,OH,2,ERM,erm,0.8591501298134602,0.8758442783240642,0.08014173393900992,0.03906993086656296,0.13096749782562256,0.14465582370758057,0.30650922656059265,0.28875693678855896,0.6983571350574493,0.3577265441417694
hmda_race,hmda,OH,2,Global score guard,score_only,0.8567247338342465,0.8756778497427291,0.040939618563764324,0.014092611629844431,0.09667527675628662,0.07879984378814697,0.18115030229091644,0.2401839643716812,0.018665941432118416,0.2371157705783844
hmda_race,hmda,OH,2,Global + boundary score guards,no_interaction,0.851398005114006,0.8726405281333648,0.0008211476689550801,0.0007023830928463148,0.06495845317840576,0.06456738710403442,0.11816438287496567,0.2087382972240448,0.06339804828166962,0.14564213156700134
hmda_race,hmda,OH,2,Score guards + global interaction,score_guard_global_interaction,0.856748800381522,0.8715032661609087,0.009079462367495461,0.002066660170109147,0.06287741661071777,0.07383602857589722,0.005149953067302704,0.032479703426361084,0.08656468242406845,0.005938657093793154
hmda_race,hmda,OH,2,Final interaction steering,repair_main05,0.8470680858663505,0.8674812421119787,0.0009379154920663435,0.0010582068677762457,0.05394315719604492,0.05382215976715088,0.004739424679428339,0.018045416101813316,0.08975668996572495,0.006214024033397436
hmda_race,hmda,OH,2,Wrong-spec,wrong_spec,0.8445412650870151,0.8622110037030359,0.1977443926709498,0.029609204615483775,0.07744622230529785,0.005333960056304932,1.0043097734451294,0.969614565372467,0.8686261773109436,1.0154516696929932
hmda_race,hmda,OH,3,ERM,erm,0.8613439000368822,0.8748734449329432,0.08245396566297925,0.04017343063529466,0.132798433303833,0.14751005172729492,0.2400042712688446,0.31434303522109985,0.7808651924133301,0.2769608199596405
hmda_race,hmda,OH,3,Global score guard,score_only,0.8543983946269651,0.8719193376142463,0.03964608714949713,0.008655747875008002,0.0889846682548523,0.07200819253921509,0.1139170303940773,0.21610911190509796,0.12129528820514679,0.15032105147838593
hmda_race,hmda,OH,3,Global + boundary score guards,no_interaction,0.853178074046876,0.8690345755377723,0.002783144671036575,0.0014507453427231587,0.0565037727355957,0.05961400270462036,0.12286115437746048,0.20930752158164978,0.07629337161779404,0.1330275535583496
hmda_race,hmda,OH,3,Score guards + global interaction,score_guard_global_interaction,0.8513972405791903,0.8681330873888743,0.012360401054270997,0.0013515813398737864,0.06362694501876831,0.06162530183792114,0.005192815326154232,0.024976300075650215,0.09611349552869797,0.007918179035186768
hmda_race,hmda,OH,3,Final interaction steering,repair_main05,0.8522838776940135,0.8675228492573125,0.009697437826375277,6.519432713236739e-06,0.06034904718399048,0.061414480209350586,0.004144302569329739,0.021703435108065605,0.11070823669433594,0.004653407260775566
hmda_race,hmda,OH,3,Wrong-spec,wrong_spec,0.8454340043337008,0.8640278490492768,0.25253375888840196,0.16495640215155005,0.2754233479499817,0.2310125231742859,0.6509922742843628,0.5891824960708618,1.2996816635131836,0.708690881729126
hmda_race,hmda,OH,4,ERM,erm,0.8591033234297678,0.8758997545178425,0.07300121637135609,0.04452806855972691,0.1306593418121338,0.14030933380126953,0.29988548159599304,0.3606191575527191,0.6350561082363129,0.33776071667671204
hmda_race,hmda,OH,4,Global score guard,score_only,0.8476978681915407,0.8693258255551086,0.016312206540652074,0.006253851612221473,0.07305467128753662,0.06134974956512451,0.11144216358661652,0.23474936187267303,0.09578370302915573,0.11340596526861191
hmda_race,hmda,OH,4,Global + boundary score guards,no_interaction,0.8476261907460608,0.8687988017142144,0.0044432419019385105,0.002132197625279497,0.0554734468460083,0.05437612533569336,0.11070139706134796,0.2234722375869751,0.1247691810131073,0.1075044795870781
hmda_race,hmda,OH,4,Score guards + global interaction,score_guard_global_interaction,0.8565835612196548,0.8740967782200463,0.005700824078465783,0.0012671718426388034,0.05705690383911133,0.05985152721405029,0.004966230131685734,0.03374617174267769,0.07154183834791183,0.005435965955257416
hmda_race,hmda,OH,4,Final interaction steering,repair_main05,0.8484743427897576,0.8682440397764309,0.006416059324426904,0.002822571236811955,0.0493779182434082,0.04750770330429077,0.004226349294185638,0.01934013143181801,0.07828973233699799,0.005825281608849764
hmda_race,hmda,OH,4,Wrong-spec,wrong_spec,0.8418311749176682,0.864721301471506,0.17049751333577756,0.10668914384064587,0.20511293411254883,0.17671185731887817,0.5636335611343384,0.6096673607826233,0.8223357498645782,0.6234714984893799
