panel,panel_title,experiment,dataset,state,model,model_label,model_order,feature,feature_label,feature_order,mean,std,n
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,erm,ERM,0,loan_to_value_ratio,LTV,0,0.5224816679954529,0.06781530945697899,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,fairsmote,Fair-SMOTE,1,loan_to_value_ratio,LTV,0,0.891025161743164,0.19984918054694167,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,score_only,Score-gap,2,loan_to_value_ratio,LTV,0,0.3181732907891273,0.08527335766991717,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,no_interaction,No-interaction,3,loan_to_value_ratio,LTV,0,0.28084954172372817,0.07824630165959828,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,steering,"Interaction
steering",4,loan_to_value_ratio,LTV,0,0.00507488092407578,0.001971067009376623,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,erm,ERM,0,debt_to_income_ratio,DTI,1,0.4210058689117432,0.04806425487835829,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,fairsmote,Fair-SMOTE,1,debt_to_income_ratio,DTI,1,0.8053466379642487,0.08932508222805975,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,score_only,Score-gap,2,debt_to_income_ratio,DTI,1,0.26786087155342103,0.05856221027837976,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,no_interaction,No-interaction,3,debt_to_income_ratio,DTI,1,0.25508764684200286,0.0480674777171427,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,steering,"Interaction
steering",4,debt_to_income_ratio,DTI,1,0.00605881842784579,0.002497487398174639,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,erm,ERM,0,loan_amount,Loan amt.,2,0.43017803132534027,0.09687436494351609,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,fairsmote,Fair-SMOTE,1,loan_amount,Loan amt.,2,0.3604082763195038,0.09276445508490173,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,score_only,Score-gap,2,loan_amount,Loan amt.,2,0.18406561836600302,0.06313037347119918,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,no_interaction,No-interaction,3,loan_amount,Loan amt.,2,0.1467377714812755,0.04281693486370651,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,steering,"Interaction
steering",4,loan_amount,Loan amt.,2,0.00260271810693661,0.0007662253631624394,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,erm,ERM,0,property_value,Property value,3,0.35083949863910674,0.04330250410073494,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,fairsmote,Fair-SMOTE,1,property_value,Property value,3,0.39603765606880187,0.08043120701096375,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,score_only,Score-gap,2,property_value,Property value,3,0.17930661663413044,0.05658413230455523,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,no_interaction,No-interaction,3,property_value,Property value,3,0.14474931433796878,0.04532214704952256,10
hmda_pa,HMDA-PA Race,hmda_race,hmda,PA,steering,"Interaction
steering",4,property_value,Property value,3,0.00256961545674126,0.0008488950566922218,10
