experiment,dataset,state,seed,model,feature,metric,value,panel,panel_title,model_label,feature_label,feature_order,model_order
hmda_race,hmda,PA,0,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.4407935738563537,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,1,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.5339025259017944,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,2,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.532794713973999,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,3,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.6323354244232178,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,4,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.6008332371711731,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,5,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.4561826586723327,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,6,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.5246493220329285,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,7,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.4973660707473755,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,8,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.5753742456436157,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,9,erm,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.4305849075317383,hmda_pa,HMDA-PA Race,ERM,LTV,0,0
hmda_race,hmda,PA,0,fairsmote,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.7072991132736206,hmda_pa,HMDA-PA Race,Fair-SMOTE,LTV,0,1
hmda_race,hmda,PA,1,fairsmote,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.663535475730896,hmda_pa,HMDA-PA Race,Fair-SMOTE,LTV,0,1
hmda_race,hmda,PA,2,fairsmote,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.9504794478416443,hmda_pa,HMDA-PA Race,Fair-SMOTE,LTV,0,1
hmda_race,hmda,PA,3,fairsmote,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,1.2853609323501587,hmda_pa,HMDA-PA Race,Fair-SMOTE,LTV,0,1
hmda_race,hmda,PA,4,fairsmote,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,1.088176965713501,hmda_pa,HMDA-PA Race,Fair-SMOTE,LTV,0,1
hmda_race,hmda,PA,5,fairsmote,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.7536720633506775,hmda_pa,HMDA-PA Race,Fair-SMOTE,LTV,0,1
hmda_race,hmda,PA,6,fairsmote,loan_to_value_ratio,pair_abs_mean__loan_to_value_ratio,0.6666263937950134,hmda_pa,HMDA-PA Race,Fair-SMOTE,LTV,0,1
