experiment,dataset,state,model,metric_group,metric,n,mean,std,direction
acs_age,acs_employment,MD,adv,behavior,accuracy,10,0.7139610051089563,0.004157290669695496,higher
acs_age,acs_employment,MD,adv,behavior,aod_gap,10,0.05623014386452139,0.03940993602563286,lower
acs_age,acs_employment,MD,adv,behavior,auc,10,0.7537373926183645,0.003018308053573221,higher
acs_age,acs_employment,MD,adv,behavior,dp_gap,10,0.09256696701049805,0.033282508551826046,lower
acs_age,acs_employment,MD,adv,behavior,eod_gap,10,0.034376708936701104,0.023152816317788306,lower
acs_age,acs_employment,MD,adv,behavior,eodds_max_gap,10,0.07808357879234167,0.05710217892595364,lower
acs_age,acs_employment,MD,adv,behavior,fpr_gap,10,0.07808357879234167,0.05710217892595364,lower
acs_age,acs_employment,MD,adv,mechanism,boundary_proxy_effect_gap_max,10,0.7480467557907104,0.08836338178184132,lower
acs_age,acs_employment,MD,adv,mechanism,boundary_proxy_effect_gap_mean,10,0.26162326633930205,0.05916903046532402,lower
acs_age,acs_employment,MD,adv,mechanism,boundary_proxy_score_gap_cond_mean,10,0.062038814276456834,0.04516204592236145,lower
acs_age,acs_employment,MD,adv,mechanism,cf_abs_prob_mean,10,0.1284279465675354,0.010710197823760327,lower
acs_age,acs_employment,MD,adv,mechanism,cf_flip_rate,10,0.12596435546875,0.02006013469148581,lower
acs_age,acs_employment,MD,adv,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.35192107409238815,0.14497754104226937,lower
acs_age,acs_employment,MD,adv,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.07386944964528083,0.030112879243953228,lower
acs_age,acs_employment,MD,adv,mechanism,main_abs_logit_mean,10,0.7425654888153076,0.06048799774653837,lower
acs_age,acs_employment,MD,adv,mechanism,pair_abs_max,10,1.261286014318466,0.4560330870500105,lower
acs_age,acs_employment,MD,adv,mechanism,pair_abs_mean,10,0.24308996945619582,0.07478095600204192,lower
acs_age,acs_employment,MD,adv,mechanism,pair_abs_q95,10,0.6160890191793442,0.18291316857004158,lower
acs_age,acs_employment,MD,adv,mechanism,proxy_effect_gap_max,10,0.6897366046905518,0.06362148458863749,lower
acs_age,acs_employment,MD,adv,mechanism,proxy_effect_gap_mean,10,0.22621121555566787,0.05090846564622142,lower
acs_age,acs_employment,MD,adv,mechanism,proxy_score_gap_cond_mean,10,0.5187790602445602,0.10109347395468608,lower
acs_age,acs_employment,MD,blind,behavior,accuracy,10,0.7139714315504119,0.004746811704691496,higher
acs_age,acs_employment,MD,blind,behavior,aod_gap,10,0.051556049241218524,0.02412177234173263,lower
acs_age,acs_employment,MD,blind,behavior,auc,10,0.7431813656899071,0.004270695955166362,higher
acs_age,acs_employment,MD,blind,behavior,dp_gap,10,0.08853252530097962,0.019724606903089355,lower
acs_age,acs_employment,MD,blind,behavior,eod_gap,10,0.030630098809715723,0.014848858078433514,lower
acs_age,acs_employment,MD,blind,behavior,eodds_max_gap,10,0.07398083453954417,0.03481327654540145,lower
acs_age,acs_employment,MD,blind,behavior,fpr_gap,10,0.07248199967272133,0.037237986827608476,lower
acs_age,acs_employment,MD,blind,mechanism,boundary_proxy_effect_gap_max,10,0.4522186517715454,0.07976028324358041,lower
acs_age,acs_employment,MD,blind,mechanism,boundary_proxy_effect_gap_mean,10,0.17597581148147584,0.019498193410558286,lower
acs_age,acs_employment,MD,blind,mechanism,boundary_proxy_score_gap_cond_mean,10,0.013915899605490268,0.006149133966388124,lower
acs_age,acs_employment,MD,blind,mechanism,cf_abs_prob_mean,10,0.0,0.0,lower
acs_age,acs_employment,MD,blind,mechanism,cf_flip_rate,10,0.0,0.0,lower
acs_age,acs_employment,MD,blind,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.3558397561311722,0.17308037580358554,lower
acs_age,acs_employment,MD,blind,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.07061880454421043,0.0167294712360183,lower
acs_age,acs_employment,MD,blind,mechanism,main_abs_logit_mean,10,0.0,0.0,lower
acs_age,acs_employment,MD,blind,mechanism,pair_abs_max,10,0.0,0.0,lower
acs_age,acs_employment,MD,blind,mechanism,pair_abs_mean,10,0.0,0.0,lower
acs_age,acs_employment,MD,blind,mechanism,pair_abs_q95,10,0.0,0.0,lower
acs_age,acs_employment,MD,blind,mechanism,proxy_effect_gap_max,10,0.4525215566158295,0.0831742737345452,lower
acs_age,acs_employment,MD,blind,mechanism,proxy_effect_gap_mean,10,0.1368674896657467,0.018983355572774318,lower
acs_age,acs_employment,MD,blind,mechanism,proxy_score_gap_cond_mean,10,0.22667963728308677,0.0446180708942127,lower
acs_age,acs_employment,MD,erm,behavior,accuracy,10,0.715347721822542,0.004184007959990019,higher
acs_age,acs_employment,MD,erm,behavior,aod_gap,10,0.07168303817703459,0.02361479937509233,lower
acs_age,acs_employment,MD,erm,behavior,auc,10,0.7560791329171501,0.0031153863386177115,higher
acs_age,acs_employment,MD,erm,behavior,dp_gap,10,0.1078053891658783,0.02146157901552541,lower
acs_age,acs_employment,MD,erm,behavior,eod_gap,10,0.048821402814550274,0.01961903722372864,lower
acs_age,acs_employment,MD,erm,behavior,eodds_max_gap,10,0.0945446735395189,0.028564525260475503,lower
acs_age,acs_employment,MD,erm,behavior,fpr_gap,10,0.0945446735395189,0.028564525260475503,lower
acs_age,acs_employment,MD,erm,mechanism,boundary_proxy_effect_gap_max,10,0.912098890542984,0.06287296941549735,lower
acs_age,acs_employment,MD,erm,mechanism,boundary_proxy_effect_gap_mean,10,0.301862308382988,0.026832364721369694,lower
acs_age,acs_employment,MD,erm,mechanism,boundary_proxy_score_gap_cond_mean,10,0.07465904727578163,0.03750438259672427,lower
acs_age,acs_employment,MD,erm,mechanism,cf_abs_prob_mean,10,0.15786142647266388,0.0106471901976032,lower
acs_age,acs_employment,MD,erm,mechanism,cf_flip_rate,10,0.15306396484375,0.015637864009633035,lower
acs_age,acs_employment,MD,erm,mechanism,higher_order_boundary_proxy_gap_scope_max,10,0.4253858834505081,0.09684764309880857,lower
acs_age,acs_employment,MD,erm,mechanism,higher_order_boundary_proxy_gap_scope_mean,10,0.09327463656663895,0.017333244024406474,lower
acs_age,acs_employment,MD,erm,mechanism,main_abs_logit_mean,10,0.9499098181724548,0.05730013287926217,lower
acs_age,acs_employment,MD,erm,mechanism,pair_abs_max,10,1.8448868632316588,0.4140836072198344,lower
acs_age,acs_employment,MD,erm,mechanism,pair_abs_mean,10,0.29958504140377046,0.03136374920348134,lower
acs_age,acs_employment,MD,erm,mechanism,pair_abs_q95,10,0.7745947897434234,0.08690358624530534,lower
acs_age,acs_employment,MD,erm,mechanism,proxy_effect_gap_max,10,0.8622392654418946,0.06752872599791802,lower
acs_age,acs_employment,MD,erm,mechanism,proxy_effect_gap_mean,10,0.25865807086229325,0.020244903740302092,lower
acs_age,acs_employment,MD,erm,mechanism,proxy_score_gap_cond_mean,10,0.6397969484329223,0.027365919115414566,lower
acs_age,acs_employment,MD,fairsmote,behavior,accuracy,10,0.7090397247419455,0.003880479407559434,higher
acs_age,acs_employment,MD,fairsmote,behavior,aod_gap,10,0.1300538038456342,0.022298090605954283,lower
acs_age,acs_employment,MD,fairsmote,behavior,auc,10,0.7497023759940404,0.0035464776880145014,higher
acs_age,acs_employment,MD,fairsmote,behavior,dp_gap,10,0.15093135833740234,0.019220678786432438,lower
acs_age,acs_employment,MD,fairsmote,behavior,eod_gap,10,0.0689860645723026,0.014746280620653435,lower
acs_age,acs_employment,MD,fairsmote,behavior,eodds_max_gap,10,0.1911215431189658,0.032789650236911036,lower
acs_age,acs_employment,MD,fairsmote,behavior,fpr_gap,10,0.1911215431189658,0.032789650236911036,lower
acs_age,acs_employment,MD,fairsmote,mechanism,boundary_proxy_effect_gap_max,10,1.0025186717510224,0.31713634936982216,lower
acs_age,acs_employment,MD,fairsmote,mechanism,boundary_proxy_effect_gap_mean,10,0.3459187686443329,0.05743206964718835,lower
acs_age,acs_employment,MD,fairsmote,mechanism,boundary_proxy_score_gap_cond_mean,10,0.03939149305224419,0.011075325315863796,lower
acs_age,acs_employment,MD,fairsmote,mechanism,cf_abs_prob_mean,10,0.15354946553707122,0.010242031180021057,lower
acs_age,acs_employment,MD,fairsmote,mechanism,cf_flip_rate,10,0.13345947265625,0.02160150599611207,lower
