"experiment","dataset","state","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"acs_age","acs_employment","MD","accuracy","higher","erm",10,0.715347721822542,0.00418400795999002,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","score_only",10,0.712928787404859,0.00454479375335272,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","score_guard_global_interaction",10,0.712678552809926,0.00541038664128402,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","no_interaction",10,0.712657699927015,0.00546843413397487,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","repair_direct",10,0.712230215827338,0.00469845886521982,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","wrong_spec",10,0.709727869878011,0.00457075236444543,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","repair_direct",10,0.0200650971765835,0.0110478296345781,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","score_guard_global_interaction",10,0.0201375921850971,0.0109056236172419,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","no_interaction",10,0.0407301115198533,0.0171013852069267,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","score_only",10,0.0485586941304352,0.0276177339028265,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","erm",10,0.0716830381770346,0.0236147993750923,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","wrong_spec",10,0.149187333822586,0.0302246219112472,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","erm",10,0.75607913291715,0.00311538633861771,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","wrong_spec",10,0.74802995673703,0.00556885075735906,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","score_only",10,0.747321546427368,0.0044404195170262,3,"ScottKnottESD","2.0.3"
