"experiment","dataset","state","metric","direction","model","n","mean","std","sk_esd_group","package","package_version"
"acs_age","acs_employment","MD","accuracy","higher","erm",10,0.715347721822542,0.00418400795999002,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","blind",10,0.713971431550412,0.0047468117046915,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","adv",10,0.713961005108956,0.0041572906696955,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","score_only",10,0.712928787404859,0.00454479375335272,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","no_interaction",10,0.712657699927015,0.00546843413397487,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","repair_direct",10,0.712230215827338,0.00469845886521982,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","proxy_exhaustive",10,0.711562923574184,0.00477501170081473,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","wrong_spec",10,0.709727869878011,0.00457075236444543,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","fairsmote",10,0.709039724741946,0.00388047940755943,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","accuracy","higher","reweight",10,0.705359190908143,0.00451128880362256,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","repair_direct",10,0.0200650971765835,0.0110478296345781,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","proxy_exhaustive",10,0.0235597275438149,0.00970239538895801,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","no_interaction",10,0.0407301115198533,0.0171013852069267,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","score_only",10,0.0485586941304352,0.0276177339028265,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","blind",10,0.0515560492412185,0.0241217723417326,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","adv",10,0.0562301438645214,0.0394099360256329,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","erm",10,0.0716830381770346,0.0236147993750923,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","reweight",10,0.079940755415269,0.0227236614338291,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","fairsmote",10,0.130053803845634,0.0222980906059543,8,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","aod_gap","lower","wrong_spec",10,0.149187333822586,0.0302246219112472,9,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","erm",10,0.75607913291715,0.00311538633861771,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","adv",10,0.753737392618364,0.00301830805357322,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","fairsmote",10,0.74970237599404,0.0035464776880145,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","reweight",10,0.749091303247771,0.00424289081650951,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","wrong_spec",10,0.74802995673703,0.00556885075735906,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","score_only",10,0.747321546427368,0.0044404195170262,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","no_interaction",10,0.746686653050606,0.00577511718007429,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","blind",10,0.743181365689907,0.00427069595516636,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","repair_direct",10,0.741997238463711,0.00490194527741006,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","auc","higher","proxy_exhaustive",10,0.741960611583989,0.00478605672510385,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","repair_direct",10,0.216586756706238,0.0314748545996507,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","proxy_exhaustive",10,0.23451444208622,0.0327045427184415,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","blind",10,0.452218651771545,0.0797602832435804,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","no_interaction",10,0.592785227298737,0.0862651213509584,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","score_only",10,0.622969907522201,0.0712852441104647,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","adv",10,0.74804675579071,0.0883633817818413,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","reweight",10,0.832661956548691,0.0740478814847499,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","erm",10,0.912098890542984,0.0628729694154973,8,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","fairsmote",10,1.00251867175102,0.317136349369822,9,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_max","lower","wrong_spec",10,1.00292645692825,0.289982581693207,9,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","repair_direct",10,0.0500690005719662,0.00594746177730705,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","proxy_exhaustive",10,0.0555999629199505,0.00882364812187581,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","blind",10,0.175975811481476,0.0194981934105583,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","no_interaction",10,0.222754222154617,0.0337761507360589,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","score_only",10,0.238717474043369,0.020386802035194,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","adv",10,0.261623266339302,0.059169030465324,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","reweight",10,0.288363187015057,0.0509038617029721,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","erm",10,0.301862308382988,0.0268323647213697,8,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","fairsmote",10,0.345918768644333,0.0574320696471883,9,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_effect_gap_mean","lower","wrong_spec",10,0.525148102641106,0.139920949408245,10,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","blind",10,0.0139158996054903,0.00614913396638812,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","repair_direct",10,0.0261510206852108,0.0257197789518918,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","proxy_exhaustive",10,0.0317379024811089,0.0207195561829088,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","fairsmote",10,0.0393914930522442,0.0110753253158638,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","no_interaction",10,0.042312766215764,0.0203728048869427,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","wrong_spec",10,0.0550388600677252,0.02498022667305,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","score_only",10,0.0553110234439373,0.0299483254211015,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","adv",10,0.0620388142764568,0.0451620459223614,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","erm",10,0.0746590472757816,0.0375043825967243,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","boundary_proxy_score_gap_cond_mean","lower","reweight",10,0.163645325228572,0.0352457838760645,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","proxy_exhaustive",10,0.0286703839898109,0.00262811290033475,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","repair_direct",10,0.029362683929503,0.0027821672939027,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","no_interaction",10,0.0848701626062393,0.016709532768492,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","score_only",10,0.0909433506429195,0.00652260630578264,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","reweight",10,0.127055288106203,0.0203495053887786,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","adv",10,0.128427946567535,0.0107101978237603,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","fairsmote",10,0.153549465537071,0.0102420311800211,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","erm",10,0.157861426472664,0.0106471901976032,7,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_abs_prob_mean","lower","wrong_spec",10,0.163862210512161,0.0166303135777328,8,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","proxy_exhaustive",10,0.0287841796875,0.00903426613724679,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","repair_direct",10,0.0326904296875,0.00728473333699951,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","adv",10,0.12596435546875,0.0200601346914858,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","no_interaction",10,0.12869873046875,0.0292735847863318,3,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","fairsmote",10,0.13345947265625,0.0216015059961121,4,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","score_only",10,0.1377685546875,0.0084518351656893,5,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","reweight",10,0.1511962890625,0.0264156320371295,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","erm",10,0.15306396484375,0.015637864009633,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","cf_flip_rate","lower","wrong_spec",10,0.15599365234375,0.0232065941600129,6,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","no_interaction",10,0.0192392885684967,0.0184332723056955,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","score_only",10,0.0204803347587585,0.0108484446836847,1,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","reweight",10,0.0270119786262512,0.0184324005143936,2,"ScottKnottESD","2.0.3"
"acs_age","acs_employment","MD","dp_gap","lower","proxy_exhaustive",10,0.0292869985103607,0.0196196421256585,2,"ScottKnottESD","2.0.3"
