experiment,dataset,state,metric,direction,model,n,mean,std,sk_group
acs_age,acs_employment,MD,accuracy,higher,erm,10,0.715347721822542,0.004184007959990019,1
acs_age,acs_employment,MD,accuracy,higher,blind,10,0.7139714315504119,0.004746811704691496,1
acs_age,acs_employment,MD,accuracy,higher,adv,10,0.7139610051089563,0.004157290669695496,1
acs_age,acs_employment,MD,accuracy,higher,score_only,10,0.7129287874048587,0.00454479375335272,1
acs_age,acs_employment,MD,accuracy,higher,proxy_exhaustive,10,0.7115629235741842,0.004775011700814732,1
acs_age,acs_employment,MD,accuracy,higher,repair_direct,10,0.7122302158273381,0.004698458865219815,1
acs_age,acs_employment,MD,accuracy,higher,no_interaction,10,0.7126576999270149,0.005468434133974874,1
acs_age,acs_employment,MD,accuracy,higher,wrong_spec,10,0.7097278698780106,0.004570752364445433,2
acs_age,acs_employment,MD,accuracy,higher,fairsmote,10,0.7090397247419455,0.003880479407559434,2
acs_age,acs_employment,MD,accuracy,higher,reweight,10,0.705359190908143,0.004511288803622564,3
acs_age,acs_employment,MD,aod_gap,lower,proxy_exhaustive,10,0.0235597275438149,0.009702395388958007,1
acs_age,acs_employment,MD,aod_gap,lower,repair_direct,10,0.02006509717658348,0.01104782963457805,1
acs_age,acs_employment,MD,aod_gap,lower,no_interaction,10,0.0407301115198533,0.017101385206926698,2
acs_age,acs_employment,MD,aod_gap,lower,blind,10,0.051556049241218524,0.02412177234173263,3
acs_age,acs_employment,MD,aod_gap,lower,adv,10,0.05623014386452139,0.03940993602563286,3
acs_age,acs_employment,MD,aod_gap,lower,score_only,10,0.048558694130435204,0.027617733902826482,3
acs_age,acs_employment,MD,aod_gap,lower,erm,10,0.07168303817703459,0.02361479937509233,4
acs_age,acs_employment,MD,aod_gap,lower,reweight,10,0.07994075541526896,0.022723661433829135,4
acs_age,acs_employment,MD,aod_gap,lower,wrong_spec,10,0.14918733382258623,0.03022462191124722,5
acs_age,acs_employment,MD,aod_gap,lower,fairsmote,10,0.1300538038456342,0.022298090605954283,5
acs_age,acs_employment,MD,auc,higher,erm,10,0.7560791329171501,0.0031153863386177115,1
acs_age,acs_employment,MD,auc,higher,adv,10,0.7537373926183645,0.003018308053573221,1
acs_age,acs_employment,MD,auc,higher,reweight,10,0.749091303247771,0.004242890816509511,2
acs_age,acs_employment,MD,auc,higher,fairsmote,10,0.7497023759940404,0.0035464776880145014,2
acs_age,acs_employment,MD,auc,higher,score_only,10,0.7473215464273677,0.004440419517026198,3
acs_age,acs_employment,MD,auc,higher,wrong_spec,10,0.7480299567370299,0.005568850757359058,3
acs_age,acs_employment,MD,auc,higher,no_interaction,10,0.746686653050606,0.005775117180074285,3
acs_age,acs_employment,MD,auc,higher,blind,10,0.7431813656899071,0.004270695955166362,4
acs_age,acs_employment,MD,auc,higher,proxy_exhaustive,10,0.7419606115839893,0.004786056725103853,4
acs_age,acs_employment,MD,auc,higher,repair_direct,10,0.7419972384637115,0.004901945277410062,4
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,proxy_exhaustive,10,0.2345144420862198,0.03270454271844149,1
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,repair_direct,10,0.21658675670623778,0.03147485459965065,1
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,blind,10,0.4522186517715454,0.07976028324358041,2
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,score_only,10,0.6229699075222015,0.0712852441104647,3
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,no_interaction,10,0.5927852272987366,0.08626512135095837,3
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,adv,10,0.7480467557907104,0.08836338178184132,4
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,reweight,10,0.8326619565486908,0.07404788148474993,5
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,erm,10,0.912098890542984,0.06287296941549735,6
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,wrong_spec,10,1.0029264569282532,0.2899825816932065,6
acs_age,acs_employment,MD,boundary_proxy_effect_gap_max,lower,fairsmote,10,1.0025186717510224,0.31713634936982216,6
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,proxy_exhaustive,10,0.05559996291995049,0.008823648121875806,1
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,repair_direct,10,0.05006900057196617,0.005947461777307047,1
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,blind,10,0.17597581148147584,0.019498193410558286,2
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,adv,10,0.26162326633930205,0.05916903046532402,3
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,score_only,10,0.2387174740433693,0.020386802035193975,3
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,no_interaction,10,0.22275422215461732,0.03377615073605894,3
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,erm,10,0.301862308382988,0.026832364721369694,4
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,reweight,10,0.2883631870150566,0.05090386170297215,4
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,fairsmote,10,0.3459187686443329,0.05743206964718835,5
acs_age,acs_employment,MD,boundary_proxy_effect_gap_mean,lower,wrong_spec,10,0.5251481026411057,0.13992094940824515,6
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,blind,10,0.013915899605490268,0.006149133966388124,1
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,repair_direct,10,0.026151020685210823,0.02571977895189176,1
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,proxy_exhaustive,10,0.0317379024811089,0.02071955618290875,2
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,no_interaction,10,0.042312766215763985,0.020372804886942653,2
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,fairsmote,10,0.03939149305224419,0.011075325315863796,2
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,erm,10,0.07465904727578163,0.03750438259672427,3
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,adv,10,0.062038814276456834,0.04516204592236145,3
acs_age,acs_employment,MD,boundary_proxy_score_gap_cond_mean,lower,score_only,10,0.055311023443937304,0.029948325421101457,3
